4.13E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,4.00E+00,final score,4.02E+00,bertf,0.949252784,bertp,0.942867517,bertr,0.955725074,bleu1,0.769230769,bleu2,0.63245553,bleu3,0.4886324,bleu4,0.399068308,chrp,0.55481787,chrr,0.59291167,chrf,0.584709166,emb,0.99058,greedy,0.916854,mentor,0.455938041,mover,0.526231293,rouge,0.769230769,vector,0.77958
5.00E+00,3.00E+00,2.00E+00,3.00E+00,5.00E+00,3.00E+00,3.13E+00,3.00E+00,,3.39E+00,bertf,0.964916468,,0.961019754,,0.968858719,,0.931034483,,0.91174601,,0.89132743,,0.869639866,,0.895501509,,0.875265557,,0.879213664,,0.995837,,0.96154,,0.594700245,,0.850604482,,0.931034483,,0.899223
4.00E+00,3.13E+00,4.00E+00,3.00E+00,3.00E+00,2.00E+00,4.00E+00,3.00E+00,,3.27E+00,bertf,0.955403984,,0.950881422,,0.959980965,,0.722222222,,0.61834694,,0.5509948,,0.485937382,,0.603082558,,0.694008938,,0.672976298,,0.98258,,0.892692,,0.465251937,,0.537310236,,0.722222222,,0.772272
5.00E+00,4.13E+00,5.00E+00,4.00E+00,5.00E+00,4.00E+00,4.00E+00,3.00E+00,,4.27E+00,bertf,0.961128473,,0.957736552,,0.964561224,,0.95,,0.92195445,,0.89141354,,0.857892809,,0.900235479,,0.878040867,,0.882361263,,0.995971,,0.971554,,0.57999722,,0.858909303,,0.95,,0.930264
5.00E+00,4.75E+00,5.00E+00,5.00E+00,5.00E+00,4.00E+00,5.00E+00,5.00E+00,,4.84E+00,bertf,0.96396029,,0.961246789,,0.966706455,,0.909090909,,0.85280287,,0.78560098,,0.701687939,,0.7975277,,0.825598636,,0.819770219,,0.987167,,0.961961,,0.491419306,,0.713833186,,0.909090909,,0.906185
4.00E+00,3.00E+00,5.00E+00,5.00E+00,4.00E+00,3.00E+00,3.00E+00,4.00E+00,,3.88E+00,bertf,0.963315487,,0.960771263,,0.965888023,,0.875,,0.79056941,,0.74690079,,0.707106781,,0.816362472,,0.816362472,,0.816362472,,0.948334,,0.901035,,0.453031024,,0.692189058,,0.875,,0.627464
4.00E+00,4.00E+00,5.00E+00,3.00E+00,3.00E+00,3.88E+00,5.00E+00,5.00E+00,,4.11E+00,bertf,0.961827159,,0.958277822,,0.96542877,,0.842105263,,0.74926865,,0.66735395,,0.600498175,,0.711706963,,0.755447272,,0.746123474,,0.967467,,0.900828,,0.502733858,,0.645312488,,0.842105263,,0.746689
4.00E+00,3.75E+00,5.00E+00,5.00E+00,4.00E+00,2.00E+00,5.00E+00,3.00E+00,,3.97E+00,bertf,0.959704995,,0.9556247,,0.963847339,,0.777777778,,0.64168895,,0.53648814,,0.450466272,,0.601614613,,0.650415915,,0.639804679,,0.950318,,0.867291,,0.46472041,,0.614461839,,0.777777778,,0.740487
4.00E+00,2.00E+00,4.00E+00,3.00E+00,3.00E+00,2.00E+00,3.00E+00,5.00E+00,,3.25E+00,bertf,0.956611335,,0.951280177,,0.962055504,,0.833333333,,0.70710678,,0.62996052,,0.537284966,,0.719515317,,0.754459797,,0.747109523,,0.976268,,0.913117,,0.375351057,,0.572053707,,0.833333333,,0.865522
5.00E+00,4.00E+00,5.00E+00,4.00E+00,5.00E+00,5.00E+00,4.00E+00,4.13E+00,,4.52E+00,bertf,0.958775222,,0.953808606,,0.96384418,,0.909090909,,0.87581131,,0.84053709,,0.802956785,,0.901050776,,0.91136812,,0.909279623,,0.997986,,0.981238,,0.634569393,,0.743741238,,0.909090909,,0.940823
